2026-09-04T18:29:08.854Z  === СУХИЙ ПРОГІН — нічого не змінюється ===
2026-09-04T18:29:10.048Z  Знайдено записів для перенесення: 1000
2026-09-04T18:29:10.049Z    dolenosne-rishennya → https://storriss.com/storage/posts/July2025/xFpgoyehGIr84yQZ87Gj-966x676.jpg
2026-09-04T18:29:10.050Z    ti-prijdesh → https://storriss.com/storage/posts/October2023/iVRwb6hlxXe0te465G3k-966x676.jpg
2026-09-04T18:29:10.053Z    horoshi-druzi → https://storriss.com/storage/posts/December2023/Y5iVmhSRTUdJQnIxOxd9-966x676.jpg
2026-09-04T18:29:10.054Z    vikno-navproti → https://storriss.com/storage/posts/February2026/krzJl1a5UWL1OwfSe9A7-966x676.jpg
2026-09-04T18:29:10.055Z    martinivski-povertayutsya → https://storriss.com/storage/posts/July2023/FJVy9afOW7XT4rYtBaYT-966x676.jpg
2026-09-04T18:29:10.056Z    virina-nelyubov3 → https://storriss.com/storage/posts/June2024/ByZQrsuM41xx0p4EmRTx-966x676.jpg
2026-09-04T18:29:10.056Z    na-krayu-chuzhogo-gnizda → https://storriss.com/storage/posts/December2023/QPuiCp2oiReDRLaq1OYg-966x676.jpg
2026-09-04T18:29:10.057Z    dotiki → https://storriss.com/storage/posts/October2023/e0mMPTzeynRC2wuV0sIE-966x676.jpg
2026-09-04T18:29:10.057Z    vazhki-dumki → https://storriss.com/storage/posts/March2023/a1eVvycdhr7Zb6qES1oG-966x676.jpg
2026-09-04T18:29:10.060Z    pivoniyi-i-trohi-kohannya → https://storriss.com/storage/posts/November2025/U2mlImwy9pYWwLGViWtw-966x676.jpg
2026-09-04T18:29:10.063Z    … і ще 990
2026-09-04T18:29:10.064Z  
2026-09-04T18:29:10.064Z  Щоб виконати перенесення, запустіть без --dry
2026-09-04T18:30:24.962Z  === ПЕРЕНЕСЕННЯ ===
2026-09-04T18:30:26.218Z  Знайдено записів для перенесення: 1000
2026-09-04T18:30:27.405Z    ✓ martinivski-povertayutsya  0.1 → 0.0 МБ
2026-09-04T18:30:27.411Z    ✓ horoshi-druzi  0.1 → 0.0 МБ
2026-09-04T18:30:27.419Z    ✓ vikno-navproti  0.1 → 0.0 МБ
2026-09-04T18:30:27.479Z    ✓ dolenosne-rishennya  0.1 → 0.0 МБ
2026-09-04T18:30:27.596Z    ✓ ti-prijdesh  0.1 → 0.1 МБ
2026-09-04T18:30:28.544Z    ✓ na-krayu-chuzhogo-gnizda  0.1 → 0.0 МБ
2026-09-04T18:30:28.547Z    ✓ vazhki-dumki  0.1 → 0.0 МБ
2026-09-04T18:30:28.551Z    ✓ dotiki  0.0 → 0.0 МБ
2026-09-04T18:30:28.562Z    ✓ pivoniyi-i-trohi-kohannya  0.1 → 0.1 МБ
2026-09-04T18:30:28.573Z    ✓ virina-nelyubov3  0.1 → 0.0 МБ
2026-09-04T18:30:29.443Z    ✓ margo  0.0 → 0.0 МБ
2026-09-04T18:30:29.475Z    ✓ dvi-civki-moloka  0.1 → 0.0 МБ
2026-09-04T18:30:29.502Z    ✓ pershe-pobachennya  0.1 → 0.1 МБ
2026-09-04T18:30:29.536Z    ✓ kazka-dlya-alisi  0.1 → 0.0 МБ
2026-09-04T18:30:29.605Z    ✓ yak-tolik-do-marinki-hodiv  0.1 → 0.1 МБ
2026-09-04T18:30:30.442Z    ✓ najkrasha-podruzhka  0.0 → 0.0 МБ
2026-09-04T18:30:30.455Z    ✓ galopom-po-svitah  0.0 → 0.0 МБ
2026-09-04T18:30:30.468Z    ✓ mati-odinachka  0.1 → 0.0 МБ
